S.No,Country,City,Company,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,CONTACT,Google Map,Category,Reviews,Comments,Standard_Category,Conversion_Probability,Rank,Reviews_Normalized,Comments_Normalized,Lead_Score,Final_Score,Company_Name_Length,Company_Word_Count,Category_Frequency,City_Frequency,City_Encoded,Category_Encoded,Predicted_Probability,,
1,India,Maharashtra,Sarthak Medical And Ganral Stors,,,,,+91 99226 29928,Sarthak Medical And Ganral Stors,Pharmacy,0,0,Pharmacy,0.55,7,0,0,0,0.33,32,5,20,20,8,6,0.32786444,,
2,India,Maharashtra,MANDALE MEDICAL,,,,,+91 77200 02552,MANDALE MEDICAL,Pharmacy,5,2,Pharmacy,0.55,7,1,0.142789347,0.571394674,0.558557869,15,2,20,20,8,6,0.5491268,,
3,India,Maharashtra,Rayba Pharmacy,,,,,+91 82753 55016,Rayba Pharmacy,Pharmacy,5,1,Pharmacy,0.55,7,1,0.090090048,0.545045024,0.54801801,14,2,20,20,8,6,0.5486009,,
4,India,Maharashtra,Annapurna Medical,,,,,+91 89997 66245,Annapurna Medical,Pharmacy,0,0,Pharmacy,0.55,7,0,0,0,0.33,17,2,20,20,8,6,0.33011574,,
5,India,Maharashtra,KES College Of Pharmacy,,,,,+91 2587 223 103,KES College Of Pharmacy,Pharmacy,2.5,4,Pharmacy,0.55,7,0.5,0.209182613,0.354591306,0.471836523,23,4,20,20,8,6,0.4610691,,
6,India,Maharashtra,Kalika Medical & General Stores,,,,,+91 98346 89634,Kalika Medical & General Stores,Pharmacy,5,2,Pharmacy,0.55,7,1,0.142789347,0.571394674,0.558557869,31,5,20,20,8,6,0.54731643,,
7,India,Maharashtra,FARMTRAC,,,,,+91 95615 27706,FARMTRAC,Pharmacy,0,0,Pharmacy,0.55,7,0,0,0,0.33,8,1,20,20,8,6,0.33094823,,
8,India,Maharashtra,HCBL Vaishnavi Medical,,,,,+91 95799 65499,HCBL Vaishnavi Medical,Pharmacy,0,0,Pharmacy,0.55,7,0,0,0,0.33,22,3,20,20,8,6,0.33409724,,
9,India,Maharashtra,Aai Medical and general store,,,,,+91 70304 64687,Aai Medical and general store,Pharmacy,4.8,4,Pharmacy,0.55,7,0.96,0.209182613,0.584591306,0.563836523,29,5,20,20,8,6,0.57778156,,
10,India,Maharashtra,Mayur medical stores,,,,,+91 94227 90260,Mayur medical stores,Pharmacy,3.8,6,Pharmacy,0.55,7,0.76,0.252914739,0.506457369,0.532582948,20,3,20,20,8,6,0.5826154,,
11,India,Maharashtra,New Life Care Pharmacy And Clinic,,,,,+91 98232 66036,New Life Care Pharmacy And Clinic,Pharmacy,5,1,Pharmacy,0.55,7,1,0.090090048,0.545045024,0.54801801,33,6,20,20,8,6,0.54731643,,
12,India,Maharashtra,Hirakani Medical and General Stores jalgaon ni,,,,,+91 93097 37037,Hirakani Medical and General Stores jalgaon ni,Pharmacy,5,2,Pharmacy,0.55,7,1,0.142789347,0.571394674,0.558557869,46,7,20,20,8,6,0.5579392,,
13,India,Maharashtra,Shree Swami Samarth Chemist And Dragist,,,,,+91 90963 35557,Shree Swami Samarth Chemist And Dragist,Pharmacy,0,0,Pharmacy,0.55,7,0,0,0,0.33,39,6,20,20,8,6,0.32853097,,
14,India,Maharashtra,GAJANAN MEDICAL &GENRAL STORE,,,,,+91 97300 45358,GAJANAN MEDICAL &GENRAL STORE,Pharmacy,0,0,Pharmacy,0.55,7,0,0,0,0.33,29,4,20,20,8,6,0.328741,,
15,India,Maharashtra,Wellness Medical Store,,,,,+91 70203 82182,Wellness Medical Store,Pharmacy,5,1,Pharmacy,0.55,7,1,0.090090048,0.545045024,0.54801801,22,3,20,20,8,6,0.54489315,,
16,India,Maharashtra,Krisha Medical Store,,,,,+91 99702 44647,Krisha Medical Store,Pharmacy,5,3,Pharmacy,0.55,7,1,0.180180095,0.590090048,0.566036019,20,3,20,20,8,6,0.5861456,,
17,India,Maharashtra,Shivparvti Medical And General Stros,,,,,+91 96733 52777,Shivparvti Medical And General Stros,Pharmacy,3,2,Pharmacy,0.55,7,0.6,0.142789347,0.371394674,0.478557869,36,5,20,20,8,6,0.48502642,,
18,India,Maharashtra,HTI AASHAPURI MEDICAL,,,,,+91 98902 88750,HTI AASHAPURI MEDICAL,Pharmacy,5,3,Pharmacy,0.55,7,1,0.180180095,0.590090048,0.566036019,21,3,20,20,8,6,0.58662987,,
19,India,Maharashtra,Pharmacy,,,,,+91 97635 38384,Pharmacy,Pharmacy,0,0,Pharmacy,0.55,7,0,0,0,0.33,8,1,20,20,8,6,0.33094823,,
20,India,Maharashtra,Sarthak Medical And Ganral Stors,,,,,+91 94035 66020,Matoshri Medical And Pharama,Pharmacy,0,0,Pharmacy,0.55,7,0,0,0,0.33,32,5,20,20,8,6,0.32786444,,
21,USA,california,New Mandarin Terrace,,,,,(818) 768-9888,New Mandarin Terrace,Restaurant,4.5,301,Restaurant,0.15,10,0.9,0.742198276,0.821099138,0.418439655,20,3,5,5,12,8,0.41921693,,
22,USA,california,MP Sushi & Poke,,,,,(747) 223-2602,MP Sushi & Poke,Restaurant,5,64,Restaurant,0.15,10,1,0.542555403,0.771277702,0.398511081,15,4,5,5,12,8,0.40121344,,
23,USA,california,ToriYen Sushi Ramen Japanese Restaurant,,,,,(818) 352-5515,ToriYen Sushi Ramen Japanese Restaurant,Restaurant,4.8,243,Restaurant,0.15,10,0.96,0.714480505,0.837240252,0.424896101,39,5,5,5,12,8,0.4229248,,
24,USA,california,Café Escondido,,,,,(818) 339-6655,Café Escondido,Restaurant,4,129,Restaurant,0.15,10,0.8,0.632645451,0.716322726,0.37652909,14,2,5,5,12,8,0.3788168,,
25,USA,california,Old Echmiadzin,,,,,(747) 338-8338,Old Echmiadzin,Restaurant,4.6,63,Restaurant,0.15,10,0.92,0.540540286,0.730270143,0.382108057,14,2,5,5,12,8,0.39380386,,
26,India,Delhi,Manav coaching center,,,,,8587080023,"https://www.google.com/maps/place/Manav+coaching+center/@28.6488875,77.1628666,17z/data=!3m1!4b1!4m6!3m5!1s0x390d02e9323e8a6d:0xbd86748064185f9b!8m2!3d28.6488875!4d77.1628666!16s%2Fg%2F11cks8mgpt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Caoching Center,4.9,232,Coaching Center,0.85,2,0.98,0.708484905,0.844242452,0.847696981,21,3,41,26,1,0,0.8442288,,
27,India,Delhi,Gyaan Bindu Coaching Institute,,,,,8077505317,"https://www.google.com/maps/place/Gyaan+Bindu+Coaching+Institute/@28.6467053,77.2906656,17z/data=!3m1!4b1!4m6!3m5!1s0x390cfd671ae41549:0x72d5f7b784416d85!8m2!3d28.6467053!4d77.2906656!16s%2Fg%2F11fnyn3jk2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Caoching Center,4.9,169,Coaching Center,0.85,2,0.98,0.667512383,0.823756191,0.839502477,30,4,41,26,1,0,0.8366988,,
28,India,Delhi,Educommerce Academy,,,,,9891580252,"https://www.google.com/maps/place/Educommerce+Academy/@28.7299302,77.0911419,17z/data=!3m1!4b1!4m6!3m5!1s0x390d06c73888d0eb:0x1f65057f345b4f46!8m2!3d28.7299302!4d77.0911419!16s%2Fg%2F11b6skdd47?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Caoching Center,5,594,Coaching Center,0.85,2,1,0.830337074,0.915168537,0.876067415,19,2,41,26,1,0,0.87431574,,
29,India,Delhi,Ascent Coaching Centre,,,,,8368598684,"https://www.google.com/maps/place/Ascent+Coaching+Centre/@28.6754383,77.2088617,17z/data=!3m1!4b1!4m6!3m5!1s0x390cfd9b74bca459:0xcac289b2ee7b84c0!8m2!3d28.6754383!4d77.2088617!16s%2Fg%2F12q4x0w7b?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Tutoring Service,4.9,29,Coaching Center,0.85,2,0.98,0.442062008,0.711031004,0.794412402,22,3,41,26,1,0,0.796113,,
30,India,Delhi,Rankers' Classes,,,,,9818322877,"https://www.google.com/maps/place/Rankers'+Classes/@28.6796731,77.0615011,17z/data=!3m1!4b1!4m6!3m5!1s0x390d0435d1f901eb:0x2fd9e39e5174f66d!8m2!3d28.6796731!4d77.0615011!16s%2Fg%2F11b7jx723f?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Caoching Center,4.9,521,Coaching Center,0.85,2,0.98,0.813324482,0.896662241,0.868664896,16,2,41,26,1,0,0.8684319,,
31,India,Delhi,Tez coaching center,,,,,8285613806,"https://www.google.com/maps/place/Tez+coaching+center/@28.5989296,77.0990358,17z/data=!3m1!4b1!4m6!3m5!1s0x390d1b5632177a83:0xc4233f829e069f71!8m2!3d28.5989296!4d77.0990358!16s%2Fg%2F11hm_bfgzq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Caoching Center,4.9,84,Coaching Center,0.85,2,0.98,0.577422335,0.778711168,0.821484467,19,3,41,26,1,0,0.82234806,,
32,India,Delhi,Shubham coaching center,,,,,9716452767,"https://www.google.com/maps/place/Shubham+coaching+center/@28.6783507,77.0582911,17z/data=!3m1!4b1!4m6!3m5!1s0x390d043514a767ff:0x9057f083cdc53160!8m2!3d28.6783507!4d77.0582911!16s%2Fg%2F11t832_r05?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Caoching Center,5,75,Coaching Center,0.85,2,1,0.562876088,0.781438044,0.822575218,23,3,41,26,1,0,0.82080734,,
33,India,Delhi,VED INSTITUTE Coaching classes,,,,,8076796890,"https://www.google.com/maps/place/VED+INSTITUTE+Coaching+classes/@28.5721145,77.0167152,17z/data=!3m1!4b1!4m6!3m5!1s0x390d1a9b8091146f:0xc7317b891d61913c!8m2!3d28.5721145!4d77.0167152!16s%2Fg%2F11gcmkzksj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Caoching Center,4.9,61,Coaching Center,0.85,2,0.98,0.53641383,0.758206915,0.813282766,30,4,41,26,1,0,0.8145914,,
34,India,Delhi,Wavicle Classes,,,,,8810250789,"https://www.google.com/maps/place/Wavicle+Classes/@28.7061671,77.0819521,17z/data=!3m1!4b1!4m6!3m5!1s0x390d073c3675f42f:0xf8326f1e78a9d514!8m2!3d28.7061671!4d77.0819521!16s%2Fg%2F11py_nnk_w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Caoching Center,4.9,113,Coaching Center,0.85,2,0.98,0.615575387,0.797787694,0.829115077,15,2,41,26,1,0,0.8268237,,
